section,v0 name,v1 name (icoads_3_0),description,comments
c5,ICOADS.C5.RHI,rhi,relative humidity indicator,
c5,ICOADS.C5.AWSI,awsi,AWS indicator,
c6,ICOADS.C6.CCCC,,collecting center,
c6,ICOADS.C6.BUID,,bulletin ID,
c6,ICOADS.C6.FBSRC,,feedback source,
c6,ICOADS.C6.ST,,model surface type,
c7,ICOADS.C7.COUNTRY,country,recruiting country,
c7,ICOADS.C7.OPM,opm,type of ship (program),
c7,ICOADS.C7.KOV,kov,kind of vessel,
c7,ICOADS.C7.COUNTRY,country,country of registry,
c7,ICOADS.C7.TOB,tob,type of barometer,
c7,ICOADS.C7.TOT,tot,type of thermometer,
c7,ICOADS.C7.EOT,,exposure of thermometer,
c7,ICOADS.C7.LOT,lot,screen location,
c7,ICOADS.C7.TOH,toh,type of hygrometer,
c7,ICOADS.C7.EOH,,exposure of hygrometer,
c7,ICOADS.C7.SIM,sstMethod,SST measurement method,
c7,ICOADS.C7.SMF,,source metadata file,
c7,ICOADS.C7.SMV,smv,source format version,
c9,ICOADS.C9.CCe,,change code,
c9,ICOADS.C9.WW,ww,present weather,
c9,ICOADS.C9.N,,total cloud amount,
c9,ICOADS.C9.NH,,lower cloud amount,
c9,ICOADS.C9.H,h,lower cloud base height,
c9,ICOADS.C9.CL,cl,low cloud type,
c9,ICOADS.C9.CM,cm,middle cloud type,
c9,ICOADS.C9.CH,ch,high cloud type,
c9,ICOADS.C9.SBI,,sky-brightness indicator,
c95,ICOADS.C95.DPRO,,data provider - reanalysis: lead organiazation,
c95,ICOADS.C95.DPRP,,data provider - reanalysis: project,
c95,ICOADS.C95.UFR,,usage flag - reanalysis,
c95,ICOADS.C95.ARCR,,author reference code,
c95,ICOADS.C95.ASIR,,access status indicator,
c96,ICOADS.C96.ASII,,access status indicator,
c97,ICOADS.C97.ASIE,,access status indicator,
c98,ICOADS.C98.RSA,rsa,Release status indicator,
c98,ICOADS.C98.IRF,,intermediate reject flag,
