call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
##;1;NITYA NAYAK;MSNG;70;MSNG;MSNG;IN;2003-03-01;2008-09-01;IN-##-N35200;;;;;;;;;;;;
###;1;MEENA UDYOG;MSNG;70;MSNG;MSNG;IN;2003-03-01;2008-09-01;IN-###-M53200;;;;;;;;;;;;
####;1;RANI PADMINI;MSNG;70;MSNG;MSNG;IN;2003-12-01;2009-06-01;IN-####-R51355;;;;;;;;;;;;
*;2;APJ AKHIL;MSNG;40;MSNG;4;IN;2006-09-01;2012-03-01;IN-*-A12240;;;;;;;;TH1;HY1;;;
**;1;HOEGH PILOT;MSNG;70;MSNG;MSNG;IN;2004-06-01;2009-12-01;IN-**-H21430;;;;;;;;;;;;
***;1;SKIPPER / II;MSNG;70;MSNG;MSNG;IN;2004-06-01;2009-12-01;IN-***-S16000;;;;;;;;;;;;
****;1;JAGAT MOHINI;MSNG;70;MSNG;MSNG;IN;2004-06-01;2009-12-01;IN-****-J23550;;;;;;;;;;;;
****001;3;ARAB HIND;MSNG;40;MSNG;MSNG;SA;2004-06-01;2009-12-01;SA-****001-A61530;;;15.0;;;;1.0;TH1;HY1;ST1;BM1;
001;1;AC. KHOHLOVS;MSNG;10;9;MSNG;LV;2001-12-01;2007-06-01;LV-001-A24120;;;12.0;;16.0;;;TH1;;ST1;BM1;
002;1;DIMANTS;MSNG;10;8;MSNG;LV;2001-12-01;2007-06-01;LV-002-D55320;;;16.0;;23.0;;;TH1;;ST1;BM1;
003;1;PRIOZERSK;MSNG;10;MSNG;MSNG;RU;2001-12-01;2007-06-01;RU-003-P62620;;;14.0;;16.0;;;TH1;;ST1;BM1;
004;1;SEROGLAZKA;MSNG;10;MSNG;MSNG;RU;2001-12-01;2007-06-01;RU-004-S62420;;;10.0;;13.0;;;TH1;;ST1;BM1;
005;1;SHANTAR;MSNG;10;MSNG;MSNG;RU;2001-12-01;2007-06-01;RU-005-S53600;;;9.0;;11.0;;;TH1;;ST1;BM1;
006;1;VIKTOR STRELTSOV;MSNG;10;MSNG;MSNG;RU;2001-12-01;2007-06-01;RU-006-V23623;;;12.0;;15.0;;;TH1;;ST1;BM1;
026;1;CABO SAN SEBASTIAN;MSNG;70;MSNG;MSNG;ES;2001-12-01;2007-06-01;ES-026-C12521;;;;;;;;;;;;
027;1;BELEN;MSNG;10;MSNG;MSNG;ES;2001-12-01;2007-06-01;ES-027-B45000;;;;;;;;TH1;HY1;ST1;BM1;
028;1;ELENA DE PEREZ;MSNG;10;MSNG;MSNG;ES;2001-12-01;2007-06-01;ES-028-E45316;;;;;;;;TH1;HY1;ST1;BM1;
029;1;JUAN CLAUDIO;MSNG;10;MSNG;MSNG;ES;2001-12-01;2007-06-01;ES-029-J52430;;;;;;;;TH1;HY1;ST1;BM1;
031;1;MONTE TOLEDO;MSNG;10;MSNG;MSNG;ES;2001-12-01;2007-06-01;ES-031-M53343;;;;;;;;TH1;HY1;ST1;BM1;
032;1;RAMIRO PEREZ;MSNG;10;MSNG;MSNG;ES;2001-12-01;2007-06-01;ES-032-R56162;;;;;;;;TH1;HY1;ST1;BM1;
033;1;RONCESVALLES;MSNG;10;MSNG;MSNG;ES;2001-12-01;2007-06-01;ES-033-R52214;;;;;;;;TH1;HY1;ST1;BM1;
034;1;RUISENADA;MSNG;10;MSNG;MSNG;ES;2001-12-01;2007-06-01;ES-034-R25300;;;;;;;;TH1;HY1;ST1;BM1;
035;1;VALVANUZ;MSNG;10;MSNG;MSNG;ES;2001-12-01;2007-06-01;ES-035-V41520;;;;;;;;TH1;HY1;ST1;BM1;
03FEB5;1;CORAL HIGHWAY;MSNG;10;23;5;JP;2005-12-01;2011-03-01;JP-03FEB5-C64200;;;27.4;;35.3;;5.8;TH1;HY1;ST1;BM1;
280567J;1;SHIMA;MSNG;10;4;5;JP;2003-12-01;2009-06-01;JP-280567J-S50000;;;14.0;;17.0;;6.5;TH1;HY1;ST1;BM1;
2GQZ;9;BERYL A;MSNG;10;18;4;GB;2005-12-01;2011-12-01;GB-2GQZ-B64000;54.0;;51.0;;97.0;51.0;;TH1;HY1;;BM1;AN1
2QXZ;7;TARTAN A;MSNG;10;18;4;GB;2005-09-01;2011-03-01;GB-2QXZ-T63500;62.0;;62.0;;102.0;54.0;;TH1;HY1;;BM1;AN1
3BGZ;3;HOI SIONG NO.1;MSNG;10;28;4;GB;2002-09-01;2008-03-01;GB-3BGZ-H25250;;;;;;;;TH1;HY1;ST1;BM1;
3EAA7;1;TANZANITE;MSNG;40;9;MSNG;US;2006-06-01;2007-03-01;US-3EAA7-T52530;;;;;;;;;;;BM1;
3EAE3;1;MSC JEMIMA;MSNG;10;4;MSNG;US;2006-06-01;2006-12-01;US-3EAE3-M25500;;;;;;;;;;ST1;BM1;
3EAI2;1;GAIA;MSNG;10;1;4;GB;2005-09-01;2011-03-01;GB-3EAI2-G00000;23.5;;23.5;;;24.0;;TH1;HY1;ST1;BM1;
3EAR2;2;IBI;MSNG;10;14;5;JP;2006-06-01;2008-06-01;JP-3EAR2-I10000;;;21.0;;21.0;;10.0;TH1;HY1;ST1;BM1;
3EAS6;1;PORT STAR;MSNG;10;1;5;JP;2006-06-01;2007-06-01;JP-3EAS6-P63236;;;31.0;;31.0;;10.0;TH1;HY1;ST1;BM1;
3EAS9;7;RYU YOH;MSNG;10;1;5;JP;2005-12-01;2006-12-01;JP-3EAS9-R00000;;;24.9;;31.7;;24.8;TH1;HY1;ST1;BM1;
3EAU3;1;VENICE BRIDGE;MSNG;70;4;MSNG;US;2006-06-01;2007-12-01;US-3EAU3-V52163;;;;;;;;;;ST1;BM1;
3EAU6;2;RIVER SPIRIT;MSNG;10;1;5;JP;2003-12-01;2009-06-01;JP-3EAU6-R16216;;;23.4;;38.7;;15.1;TH1;HY1;ST1;BM1;
3EAV4;2;SHIN NICHIHO;MSNG;10;1;5;JP;2006-06-01;2007-06-01;JP-3EAV4-S52000;;;23.0;;36.0;;15.0;TH1;HY1;ST1;BM1;
3EAW9;11;KAIMON;MSNG;10;14;5;JP;2004-06-01;2009-12-01;JP-3EAW9-K55000;;;26.0;;24.0;;14.0;TH1;HY1;ST1;BM1;
3EAX2;1;MARITIME NEWANDA;MSNG;10;1;5;JP;2006-06-01;2007-06-01;JP-3EAX2-M63555;;;17.0;;31.0;;9.6;TH1;HY1;ST1;BM1;
3EBC;2;LYRA LEADER;MSNG;10;23;5;JP;2006-06-01;2006-12-01;JP-3EBC-L64360;;;33.0;;38.0;;5.0;TH1;HY1;ST1;BM1;
3EBE9;4;LEDA;MSNG;10;1;5;JP;2006-09-01;2007-06-01;JP-3EBE9-L30000;;;21.0;;33.0;;8.0;TH1;HY1;ST1;BM1;
3EBO9;1;MSC LORENA;MSNG;70;4;MSNG;US;2006-06-01;2007-12-01;US-3EBO9-M24650;;;;;;;;;;ST1;BM1;
3EBP8;2;FESTA;MSNG;40;MSNG;MSNG;US;2006-06-01;2007-12-01;US-3EBP8-F23000;;;;;;;;;;ST1;BM1;
3EBR6;11;ANDES HIGHWAY;MSNG;10;23;5;JP;2006-06-01;2011-12-01;JP-3EBR6-A53220;;;21.6;;31.8;;5.8;TH1;HY1;ST1;BM1;
3EBX6;7;CHUETSU MARU;MSNG;40;1;5;JP;2005-12-01;2011-03-01;JP-3EBX6-C32560;;;22.6;;32.3;;10.8;TH1;HY1;ST1;BM1;
3ECC9;6;TOHDOH;MSNG;10;14;5;JP;2004-06-01;2007-06-01;JP-3ECC9-T30000;;;35.0;;40.0;;15.0;TH1;HY1;ST1;BM1;
3ECE2;1;SHANGHAI HIGHWAY;MSNG;70;23;MSNG;US;2006-06-01;2011-12-01;US-3ECE2-S52200;;;;;;;;;;ST1;BM1;
3ECE7;6;RHEIN BRIDGE;MSNG;10;4;5;JP;2006-03-01;2007-06-01;JP-3ECE7-R51632;;;30.0;;32.0;;7.0;TH1;HY1;ST1;BM1;
3ECG9;1;VICTORIA BRIDGE;MSNG;40;4;5;JP;2006-03-01;2007-03-01;JP-3ECG9-V23616;;;32.5;;39.0;;8.0;;HY1;ST1;BM1;
3ECI8;6;SOLITAIRE;MSNG;10;18;4;GB;2004-12-01;2010-03-01;GB-3ECI8-S43600;;;48.0;;0.0;0.0;;TH1;HY1;;BM1;
3ECM6;1;MSC EDITH (PANAMA);MSNG;10;4;4;AU;2006-09-01;2006-12-01;AU-3ECM6-M23315;30.0;;30.0;;;30.0;10.3;TH1;HY1;ST1;BM1;
3ECM7;2;SHIRAOI MARU;MSNG;70;MSNG;MSNG;US;2005-06-01;2010-12-01;US-3ECM7-S65600;;;;;;;;;;ST1;BM1;
3ECO9;4;PRINCE OF OCEAN;MSNG;40;MSNG;MSNG;US;2006-06-01;2007-12-01;US-3ECO9-P65212;;;;;;;;;;ST1;BM1;
3ECP2;2;JIN-EI;MSNG;10;14;5;JP;2006-09-01;2007-03-01;JP-3ECP2-J50000;;;26.0;;41.0;;18.0;TH1;HY1;ST1;BM1;
3ECX3;2;EQUULEUS LEADER;MSNG;40;23;5;JP;2006-06-01;2007-06-01;JP-3ECX3-E24243;;;29.2;;35.6;;5.0;TH1;;ST1;BM1;
3ECY9;1;EASTERN FORTUNE;MSNG;10;14;4;GB;2003-03-01;2007-06-01;GB-3ECY9-E23651;;;;;;;;TH1;HY1;ST1;BM1;
3EDA8;1;CAPE SOPHIA;MSNG;10;1;5;JP;2006-03-01;2007-03-01;JP-3EDA8-C12100;;;25.0;;;;;TH1;HY1;ST1;BM1;
3EDB9;8;TOKIWA;MSNG;10;14;MSNG;JP;2002-03-01;2007-09-01;JP-3EDB9-T20000;;;27.0;;40.0;;17.0;TH1;HY1;ST1;BM1;
3EDF2;1;CETUS LEADER;MSNG;70;23;MSNG;US;2006-09-01;2007-03-01;US-3EDF2-C32436;;;;;;;;;;ST1;BM1;
3EDF9;7;TOKYO HIGHWAY;MSNG;10;MSNG;MSNG;JP;2001-12-01;2007-03-01;JP-3EDF9-T22000;;;28.0;;37.0;;3.0;TH1;HY1;ST1;BM1;
3EDG6;2;EUPHONY ACE;MSNG;40;23;5;JP;2006-06-01;2007-03-01;JP-3EDG6-E15200;;;28.7;;32.2;;;TH1;HY1;ST1;BM1;
3EDI6;1;BERGE ARCTIC;MSNG;10;1;4;GB;2005-12-01;2011-06-01;GB-3EDI6-B62623;23.5;;24.0;;;24.2;6.9;TH1;HY1;ST1;BM1;
3EDQ;1;GRAND COSMO;MSNG;70;23;MSNG;US;2006-06-01;2007-12-01;US-3EDQ-G65322;;;;;;;;;;ST1;BM1;
3EDR9;3;YAMATO;MSNG;10;1;5;JP;2006-03-01;2006-12-01;JP-3EDR9-Y53000;;;24.0;;38.0;;12.0;TH1;HY1;ST1;BM1;
3EDT9;9;JOHN SHAW;MSNG;10;18;4;GB;2006-09-01;2011-12-01;GB-3EDT9-J52000;15.0;;15.0;;80.0;15.0;12.4;TH1;HY1;ST1;BM1;AN1
3EDW5;1;OTOWASAN;MSNG;40;14;5;JP;2006-03-01;2007-06-01;JP-3EDW5-O32500;;;27.5;;44.1;;19.0;TH1;HY1;ST1;BM1;
3EDW7;4;PEARL QUEEN;MSNG;10;1;5;JP;2005-12-01;2011-03-01;JP-3EDW7-P64250;;;23.0;;37.9;;6.5;TH1;HY1;ST1;BM1;
3EEB;1;TAKASAKI;MSNG;10;14;5;JP;2006-03-01;2007-03-01;JP-3EEB-T22200;;;23.0;;36.0;;18.0;TH1;HY1;ST1;BM1;
3EEB6;1;NSS GRANDEUR;MSNG;10;1;5;JP;2006-03-01;2007-06-01;JP-3EEB6-N26536;;;26.0;;33.0;;26.0;TH1;HY1;ST1;BM1;
3EEG8;7;KATSURAGI;MSNG;10;4;5;JP;2006-03-01;2007-06-01;JP-3EEG8-K32620;;;27.2;;29.2;;8.2;TH1;HY1;ST1;BM1;
3EER8;6;FORESTAL ESPERANZA;MSNG;10;1;5;JP;2003-12-01;2009-06-01;JP-3EER8-F62342;;;25.3;;26.0;;10.7;TH1;HY1;ST1;BM1;
3EES2;1;GEORGE WASHINGTON BRIDGE;MSNG;10;4;5;JP;2006-09-01;2006-12-01;JP-3EES2-G62252;;;34.5;;35.0;;14.0;TH1;HY1;ST1;BM1;
