call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
#;1;RADIANT RIGEL;MSNG;40;MSNG;4;IN;2007-06-01;2012-12-01;IN-#-R35362;;;;;;;;;;;BM1;
*;2;APJ AKHIL;MSNG;40;MSNG;4;IN;2006-09-01;2012-03-01;IN-*-A12240;;;;;;;;TH1;HY1;;;
**;1;EVERLAST;MSNG;99;29;4;CA;2006-06-01;2011-09-01;CA-**-E16423;;;;;;;;;;;;
***;1;MISSISSAGI;MSNG;99;1;4;CA;2006-06-01;2011-09-01;CA-***-M22200;;;;;;;;;;;;
****;1;VINLANDER;MSNG;99;8;4;CA;2006-06-01;2011-09-01;CA-****-V54536;;;;;;;;;;;;
03-FEB-05;2;CORAL HIGHWAY;MSNG;10;23;5;JP;2007-09-01;2012-12-01;JP-03-FEB-05-C64200;;;27.4;;35.3;;5.8;TH1;HY1;ST1;BM1;
03FEB5;1;CORAL HIGHWAY;MSNG;10;23;5;JP;2005-12-01;2011-03-01;JP-03FEB5-C64200;;;27.4;;35.3;;5.8;TH1;HY1;ST1;BM1;
2AJI3;1;SAFMARINE NYASSA;MSNG;70;4;MSNG;US;2008-09-01;2010-09-01;US-2AJI3-S15655;;;;;;;;;;;BM1;
2AJU5;1;ANL WYONG;11;10;4;4;AU;2008-06-01;2010-09-01;AU-2AJU5-A54520;35.0;;35.0;;40.0;35.0;8.0;TH1;HY1;ST1;BM1;
2AKI2;1;BRITISH RUBY;MSNG;10;MSNG;4;GB;2008-06-01;2013-12-01;GB-2AKI2-B63261;;;;;;;;;;;;
2AKI3;2;BRITISH SAPPHIRE;MSNG;10;MSNG;4;GB;2008-09-01;2015-12-01;GB-2AKI3-B63221;;;;;;;;;;;;
2AKI4;1;BRITISH DIAMOND;11;10;10;4;GB;2008-09-01;2010-09-01;GB-2AKI4-B63235;;;;;;;;;;;;
2ALD3;1;ANL WANGARATTA;11;10;4;4;AU;2008-09-01;2010-09-01;AU-2ALD3-A54526;35.0;;34.0;;44.0;35.0;8.0;TH1;HY1;ST1;BM1;AN1
2GQZ;9;BERYL A;MSNG;10;18;4;GB;2005-12-01;2011-12-01;GB-2GQZ-B64000;54.0;;51.0;;97.0;51.0;;TH1;HY1;;BM1;AN1
2QXZ;7;TARTAN A;MSNG;10;18;4;GB;2005-09-01;2011-03-01;GB-2QXZ-T63500;62.0;;62.0;;102.0;54.0;;TH1;HY1;;BM1;AN1
3-FEB-05;1;CORAL HIGHWAY;MSNG;10;23;5;JP;2007-12-01;2013-03-01;JP-3-FEB-05-C64200;;;27.4;;35.3;;5.8;TH1;HY1;ST1;BM1;
38386;1;CORAL HIGHWAY;MSNG;10;23;5;JP;2006-12-01;2012-03-01;JP-38386-C64200;;;27.4;;35.3;;5.8;TH1;HY1;ST1;BM1;
3EAA7;3;TANZANITE;MSNG;MSNG;9;MSNG;US;2007-12-01;2013-06-01;US-3EAA7-T52530;;;;;;;;;;;;
3EAE3;2;MSC JEMIMA;MSNG;10;4;MSNG;US;2006-12-01;2012-06-01;US-3EAE3-M25500;;;;;;;;;;ST1;BM1;
3EAH4;2;SUNNY GLOBE;MSNG;10;1;5;JP;2008-09-01;2010-09-01;JP-3EAH4-S52410;;;19.8;;20.4;;8.5;TH1;;ST1;BM1;
3EAI;2;JP AZURE;MSNG;10;1;5;JP;2008-09-01;2010-09-01;JP-3EAI-J12600;;;18.8;;32.5;;9.6;TH1;HY1;ST1;BM1;
3EAI2;1;GAIA;MSNG;10;1;4;GB;2005-09-01;2011-03-01;GB-3EAI2-G00000;23.5;;23.5;;;24.0;;TH1;HY1;ST1;BM1;
3EAK7;1;CAPE LIBERTY;MSNG;40;1;5;JP;2008-09-01;2010-09-01;JP-3EAK7-C14163;;;;;;;;TH1;HY1;ST1;BM1;
3EAR2;4;IBI;MSNG;10;9;5;JP;2008-09-01;2010-09-01;JP-3EAR2-I10000;;;21.0;;34.6;;6.0;TH1;HY1;ST1;BM1;
3EAS6;6;PORT STAR;MSNG;10;1;5;JP;2008-09-01;2013-12-01;JP-3EAS6-P63236;;;31.0;;31.0;;10.0;TH1;HY1;ST1;BM1;
3EAS9;10;RYU YOH;MSNG;10;1;5;JP;2007-09-01;2012-12-01;JP-3EAS9-R00000;;;24.9;;31.7;;24.8;TH1;HY1;ST1;BM1;
3EAT6;6;VICTOIRE;11;10;10;4;NZ;2008-09-01;2010-09-01;NZ-3EAT6-V23600;14.4;;14.4;;21.0;14.4;6.0;TH1;HY1;ST1;BM1;AN1
3EAU3;3;VENICE BRIDGE;MSNG;70;4;MSNG;US;2008-09-01;2013-12-01;US-3EAU3-V52163;;;;;;;;;;;BM1;
3EAV4;7;SHIN NICHIHO;MSNG;10;1;5;JP;2008-09-01;2010-09-01;JP-3EAV4-S52000;;;23.2;;33.0;;;TH1;HY1;ST1;BM1;
3EAW6;6;EMINENT ACE;MSNG;10;23;5;JP;2008-09-01;2010-09-01;JP-3EAW6-E55532;;;;;;;;TH1;HY1;ST1;BM1;
3EAX2;5;MARITIME NEWANDA;MSNG;10;1;5;JP;2008-09-01;2013-12-01;JP-3EAX2-M63555;;;17.0;;31.0;;9.6;TH1;HY1;ST1;BM1;
3EBC;9;LYRA LEADER;MSNG;10;23;5;JP;2008-09-01;2013-12-01;JP-3EBC-L64360;;;28.6;;34.2;;1.2;TH1;HY1;ST1;BM1;
3EBE9;6;LEDA;MSNG;10;1;5;JP;2007-09-01;2012-12-01;JP-3EBE9-L30000;;;21.0;;33.0;;8.0;TH1;HY1;ST1;BM1;
3EBG4;2;ACE GATE;MSNG;10;1;5;JP;2008-09-01;2010-09-01;JP-3EBG4-A22300;;;20.6;;20.8;;10.4;TH1;HY1;ST1;BM1;
3EBL5;4;CARNIVAL FREEDOM;MSNG;10;MSNG;MSNG;US;2008-09-01;2010-09-01;US-3EBL5-C65141;;;;;;;;;;;BM1;
3EBM3;2;CAPE ACACIA;MSNG;10;1;5;JP;2008-09-01;2010-09-01;JP-3EBM3-C12200;;;32.0;;45.0;;16.0;TH1;HY1;ST1;BM1;
