call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
****001;1;AMAPA;MSNG;10;MSNG;MSNG;BR;1986-01-01;1993-01-01;BR-****001-A51000;;;;;;;;TH1;HY1;ST1;BM1;
****002;1;CR TOKYO;MSNG;10;MSNG;MSNG;FR;1987-01-01;1993-01-01;FR-****002-C63200;;30.0;;45.0;;;;TH1;HY1;ST1;BM1;AN1
****003;1;DOCE ANGRA;MSNG;40;MSNG;MSNG;BR;1986-01-01;1993-01-01;BR-****003-D25260;;21.0;;;;;;TH1;HY1;ST1;BM1;
****004;1;DOCE ORION;MSNG;40;MSNG;MSNG;BR;1986-01-01;1993-01-01;BR-****004-D26500;;25.0;;37.0;;;;TH1;HY1;ST1;BM1;AN1
****005;1;VISHVA ANAND;MSNG;70;MSNG;MSNG;IN;1987-01-01;1993-01-01;IN-****005-V21553;;;;;;;;;;;;
****006;1;WORLD AMITY (PANAMA);MSNG;70;MSNG;MSNG;CA;1987-01-01;1994-01-01;CA-****006-W64353;;20.0;;30.0;;;;TH1;;;BM1;AN1
****007;1;F.C.G. SMITH;MSNG;10;MSNG;MSNG;CA;1987-01-01;1994-01-01;CA-****007-F25300;;;;;;;;TH1;HY1;ST1;BM1;
****008;1;CHENNAI VALARCHI;MSNG;40;MSNG;MSNG;IN;1987-01-01;1993-01-01;IN-****008-C51462;;;;;;;;TH1;;;BM1;
****009;1;LOK MAHESHWARI;MSNG;40;MSNG;MSNG;IN;1987-01-01;1993-01-01;IN-****009-L25260;;;;;;;;TH1;;;BM1;
****010;1;CHARISMA-N;MSNG;70;MSNG;MSNG;IN;1987-01-01;1993-01-01;IN-****010-C62550;;;;;;;;;;;;
****011;1;LACCADIVE;MSNG;70;MSNG;MSNG;IN;1987-01-01;1993-01-01;IN-****011-L23100;;;;;;;;;;;;
****012;1;ALEXANDER;MSNG;70;MSNG;MSNG;IN;1987-01-01;1993-01-01;IN-****012-A42536;;;;;;;;;;;;
****013;1;ZAFRA;MSNG;10;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****013-Z16000;;;;;;;;TH1;HY1;ST1;BM1;
****014;1;BUNGA MAWAR;MSNG;40;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****014-B52560;;18.0;;;;;;TH1;HY1;ST1;BM1;
****016;1;DOCK EXPRESS FRANCE;MSNG;40;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****016-D22162;;20.0;;;;;;TH1;HY1;ST1;BM1;
****017;1;SOLSTICE;MSNG;70;MSNG;MSNG;CA;1989-01-01;1995-01-01;CA-****017-S42320;;1.0;;10.0;;;;TH1;;;BM1;AN1
****029;1;SMIT NEW YORK;MSNG;40;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****029-S53562;;15.0;;;;;;TH1;HY1;ST1;BM1;
****031;1;STELLA MARE;MSNG;40;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****031-S34560;;10.0;;;;;;TH1;HY1;ST1;BM1;
1694;1;MYMIR;MSNG;70;MSNG;MSNG;IS;1987-01-01;1994-01-01;IS-1694-M56000;;;;;;;;TH1;;;;
2DLB3;1;GRETA-C;MSNG;10;MSNG;MSNG;GB;1991-01-01;1997-01-01;GB-2DLB3-G63200;;7.0;;;;;;TH1;HY1;ST1;BM1;
2GMG;1;LADY BEAVERBROOK;MSNG;10;MSNG;MSNG;GB;1992-01-01;1998-01-01;GB-2GMG-L31161;;1.0;;;;;;TH1;HY1;ST1;BM1;
2GQZ;1;BERYL A;MSNG;10;MSNG;MSNG;GB;1992-01-01;1993-01-01;GB-2GQZ-B64000;;48.0;;;;;;TH1;HY1;;BM1;
2GRJ;2;THISTLE A;MSNG;10;MSNG;MSNG;GB;1991-01-01;1993-01-01;GB-2GRJ-T23400;;49.0;;;;;;TH1;HY1;ST1;BM1;
2IJQ;2;FRANCIS DRAKE;MSNG;10;MSNG;MSNG;GB;1991-01-01;1995-01-01;GB-2IJQ-F65223;;3.0;;;;;;TH1;HY1;ST1;BM1;
2LJV;1;HEATHER A;MSNG;10;MSNG;MSNG;GB;1988-01-01;1993-01-01;GB-2LJV-H36000;;;;;;;;TH1;HY1;;BM1;
