call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
****001;1;ENTALINA;MSNG;10;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****001-E53450;;;;;;;;TH1;HY1;ST1;BM1;
****002;1;DAN BARONESS;MSNG;10;MSNG;MSNG;GB;1991-01-01;1997-01-01;GB-****002-D51652;;;;;;;;TH1;HY1;ST1;BM1;
****003;1;ERODONA;MSNG;10;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****003-E63500;;;;;;;;TH1;HY1;ST1;BM1;
****004;1;ETREMA;MSNG;10;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****004-E36500;;25.0;;;;;;TH1;HY1;ST1;BM1;
****005;1;GREENPEACE;MSNG;10;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****005-G65120;;8.0;;;;;;TH1;HY1;ST1;BM1;
****006;1;HELLEVOETSLUIS HR MS;MSNG;10;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****006-H41324;;;;;;;;TH1;HY1;ST1;BM1;
****007;1;IVER EXPRESS;MSNG;10;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****007-I16216;;;;;;;;TH1;HY1;ST1;BM1;
****008;1;CHAROIT;MSNG;10;MSNG;MSNG;RU;1991-01-01;1997-01-01;RU-****008-C63000;;7.0;;7.0;;;;TH1;HY1;ST1;BM1;AN1
****009;1;NATICINA;MSNG;10;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****009-N32500;;;;;;;;TH1;HY1;ST1;BM1;
****010;1;SIRATUS;MSNG;10;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****010-S63200;;;;;;;;TH1;HY1;ST1;BM1;
****011;1;SPRING TIGER;MSNG;10;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****011-S16523;;;;;;;;TH1;HY1;ST1;BM1;
****012;1;WESTERDAM;MSNG;10;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****012-W23635;;;;;;;;TH1;HY1;ST1;BM1;
****013;1;ZAFRA;MSNG;10;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****013-Z16000;;;;;;;;TH1;HY1;ST1;BM1;
****014;1;BUNGA MAWAR;MSNG;40;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****014-B52560;;18.0;;;;;;TH1;HY1;ST1;BM1;
****016;1;DOCK EXPRESS FRANCE;MSNG;40;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****016-D22162;;20.0;;;;;;TH1;HY1;ST1;BM1;
****029;1;SMIT NEW YORK;MSNG;40;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****029-S53562;;15.0;;;;;;TH1;HY1;ST1;BM1;
****031;1;STELLA MARE;MSNG;40;MSNG;MSNG;NL;1991-01-01;1997-01-01;NL-****031-S34560;;10.0;;;;;;TH1;HY1;ST1;BM1;
2DLB3;1;GRETA-C;MSNG;10;MSNG;MSNG;GB;1991-01-01;1997-01-01;GB-2DLB3-G63200;;7.0;;;;;;TH1;HY1;ST1;BM1;
2GMG;1;LADY BEAVERBROOK;MSNG;10;MSNG;MSNG;GB;1992-01-01;1998-01-01;GB-2GMG-L31161;;1.0;;;;;;TH1;HY1;ST1;BM1;
2GQZ;3;BERYL A;MSNG;10;18;MSNG;GB;1995-01-01;1999-06-01;GB-2GQZ-B64000;;;51.0;97.0;;;;TH1;HY1;;BM1;AN1
2GRJ;4;THISTLE A;MSNG;10;18;MSNG;GB;1995-01-01;2001-01-01;GB-2GRJ-T23400;;;50.0;;;;;TH1;HY1;;BM1;
2IDK;1;DEW-GENEN-NY;MSNG;10;MSNG;MSNG;GB;1993-01-01;2000-01-01;GB-2IDK-D25500;;4.0;;;;;;TH1;HY1;ST1;BM1;
2IJQ;4;FRANCIS DRAKE;MSNG;10;31;MSNG;GB;1996-01-01;1999-06-01;GB-2IJQ-F65223;;;2.0;;;;;TH1;HY1;ST1;BM1;
2ISF;2;NINIAN CENTRAL;MSNG;10;18;MSNG;GB;1995-01-01;2002-01-01;GB-2ISF-N55253;;;62.0;99.0;;;;TH1;HY1;;BM1;AN1
2LJV;3;HEATHER A;MSNG;10;18;MSNG;GB;1995-01-01;2002-01-01;GB-2LJV-H36000;;;48.0;96.0;;;;TH1;HY1;;BM1;AN1
2QXZ;3;TARTAN A;MSNG;10;18;MSNG;GB;1995-01-01;1999-06-01;GB-2QXZ-T63500;;;54.0;99.0;;;;TH1;HY1;;BM1;AN1
3BFH;1;PENAVEL (MAURICE);MSNG;10;MSNG;MSNG;FR;1990-01-01;1997-01-01;FR-3BFH-P51456;;21.0;;23.0;;;;TH1;HY1;ST1;BM1;AN1
3BFS;1;LADY SUSHIL II;MSNG;70;8;MSNG;GB;1995-01-01;2000-12-01;GB-3BFS-L32240;;;;;;;;TH1;HY1;;BM1;
3BFZ;1;APAPA (MAURICE);MSNG;10;MSNG;MSNG;FR;1990-01-01;1997-01-01;FR-3BFZ-A11562;;15.0;;17.0;;;;TH1;HY1;ST1;BM1;AN1
3BGJ;2;CITY OF PORT LOUIS;MSNG;10;MSNG;MSNG;ZA;1995-01-01;1999-06-01;ZA-3BGJ-C31634;;;16.0;28.0;;;;TH1;HY1;ST1;BM1;AN1
3BIH;1;FAKI III;MSNG;10;28;MSNG;GB;1995-01-01;2002-01-01;GB-3BIH-F20000;;;;;;;;TH1;HY1;ST1;BM1;
3DRV;2;TUI CAKAU III;MSNG;10;9;MSNG;NZ;1995-01-01;2002-01-01;NZ-3DRV-T22000;;;18.0;;;;;TH1;HY1;ST1;BM1;
3DTF;1;SOUTHLAND STAR;MSNG;10;MSNG;MSNG;GB;1990-01-01;1997-01-01;GB-3DTF-S34532;;18.0;;;;;;TH1;HY1;ST1;BM1;
3EAB6;1;ISABELLA;MSNG;70;MSNG;MSNG;US;1993-01-01;2000-01-01;US-3EAB6-I21400;;;;;;;;;;;;
3EAD9;1;RAINBOW ACE;MSNG;10;MSNG;MSNG;JP;1993-01-01;1999-01-01;JP-3EAD9-R51200;;29.0;;40.0;;;;TH1;HY1;ST1;BM1;AN1
3EAG4;1;VERA ACORDE;MSNG;70;MSNG;MSNG;US;1992-01-01;1999-01-01;US-3EAG4-V62630;;;;;;;;;;;;
3EAJ2;1;KIUKIANG CAREER;MSNG;10;1;MSNG;GB;1995-01-01;2002-01-01;GB-3EAJ2-K25266;;;20.0;;;;;TH1;HY1;ST1;BM1;
3EAK3;1;CYPRESS POINT;MSNG;40;1;MSNG;JP;1996-01-01;2002-01-01;JP-3EAK3-C16215;;;23.0;32.0;;;11.0;TH1;HY1;ST1;BM1;AN1
3EAL3;2;FAIR BRIDGE (PANAMA);MSNG;10;4;MSNG;HK;1995-01-01;2002-01-01;HK-3EAL3-F61632;;;16.0;;;;5.0;TH1;HY1;ST1;BM1;
