call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
****001;1;RIO GUALEGUAY;MSNG;10;MSNG;MSNG;AR;1977-01-01;1983-01-01;AR-****001-R24200;;14.0;;;;;;TH1;HY1;ST1;BM1;
****002;1;JANA PRIYA;MSNG;40;MSNG;MSNG;IN;1977-01-01;1983-01-01;IN-****002-J51600;;;;;;;;TH1;;;BM1;
****003;1;MITRIDAT;MSNG;10;MSNG;MSNG;RU;1977-01-01;1983-01-01;RU-****003-M36330;;;;10.0;;;;TH1;;ST1;BM1;AN1
****004;1;DESEADO;MSNG;10;MSNG;MSNG;GB;1977-01-01;1983-01-01;GB-****004-D23000;;19.0;;;;;;TH1;HY1;ST1;BM1;
****005;1;LORD SELKIRK II;MSNG;10;MSNG;MSNG;CA;1977-01-01;1983-01-01;CA-****005-L63242;;9.0;;15.0;;;;TH1;HY1;ST1;BM1;AN1
****006;2;ALERT;MSNG;10;MSNG;MSNG;CA;1977-01-01;1983-01-01;CA-****006-A46300;;11.0;;24.0;;;;TH1;HY1;ST1;BM1;AN1
****007;1;DOCE GOLF;MSNG;70;MSNG;MSNG;BR;1982-01-01;1983-01-01;BR-****007-D22410;;18.0;;;;;;TH1;HY1;ST1;BM1;
****008;1;CANADIAN ENTERPRISE;MSNG;70;MSNG;MSNG;CA;1980-01-01;1986-01-01;CA-****008-C53553;;;;;;;;TH1;;ST1;;
****009;1;ROSA MARIA;MSNG;10;MSNG;MSNG;BR;1982-01-01;1988-01-01;BR-****009-R25600;;12.0;;;;;;TH1;HY1;ST1;BM1;
****010;1;ZHUKOVSKY;MSNG;10;MSNG;MSNG;RU;1978-01-01;1985-01-01;RU-****010-Z21200;;;;12.0;;;;TH1;;ST1;BM1;AN1
****011;1;KAPITAN NIKOLAEV;MSNG;10;MSNG;MSNG;RU;1978-01-01;1985-01-01;RU-****011-K13524;;;;30.0;;;;TH1;;ST1;BM1;AN1
****012;1;GRIGORY TERENTEV;MSNG;10;MSNG;MSNG;RU;1978-01-01;1985-01-01;RU-****012-G62636;;;;17.0;;;;TH1;;ST1;BM1;AN1
****013;1;ZARECHE;MSNG;10;MSNG;MSNG;RU;1978-01-01;1985-01-01;RU-****013-Z62000;;;;11.0;;;;TH1;;ST1;BM1;AN1
****027;1;BELEN;MSNG;10;MSNG;MSNG;ES;1975-01-01;1983-01-01;ES-****027-B45000;;;;;;;;TH1;HY1;ST1;BM1;
****028;1;ELENA DE PEREZ;MSNG;10;MSNG;MSNG;ES;1975-01-01;1983-01-01;ES-****028-E45316;;;;;;;;TH1;HY1;ST1;BM1;
****029;1;JUAN CLAUDIO;MSNG;10;MSNG;MSNG;ES;1975-01-01;1983-01-01;ES-****029-J52430;;;;;;;;TH1;HY1;ST1;BM1;
****030;1;MERCED;MSNG;10;MSNG;MSNG;ES;1975-01-01;1983-01-01;ES-****030-M62300;;;;;;;;TH1;HY1;ST1;BM1;
****031;1;MONTE TOLEDO;MSNG;10;MSNG;MSNG;ES;1975-01-01;1983-01-01;ES-****031-M53343;;;;;;;;TH1;HY1;ST1;BM1;
****032;1;RAMIRO PEREZ;MSNG;10;MSNG;MSNG;ES;1975-01-01;1983-01-01;ES-****032-R56162;;;;;;;;TH1;HY1;ST1;BM1;
****033;1;RONCESVALLES;MSNG;10;MSNG;MSNG;ES;1975-01-01;1983-01-01;ES-****033-R52214;;;;;;;;TH1;HY1;ST1;BM1;
****034;1;RUISENADA;MSNG;10;MSNG;MSNG;ES;1975-01-01;1983-01-01;ES-****034-R25300;;;;;;;;TH1;HY1;ST1;BM1;
****035;1;VALVANUZ;MSNG;10;MSNG;MSNG;ES;1975-01-01;1983-01-01;ES-****035-V41520;;;;;;;;TH1;HY1;ST1;BM1;
2DLC;1;ST OLA;MSNG;10;MSNG;MSNG;GB;1980-01-01;1986-01-01;GB-2DLC-S34000;;10.0;;;;;;TH1;HY1;ST1;BM1;
2TJP;1;RAIDER;MSNG;40;MSNG;MSNG;GB;1978-01-01;1985-01-01;GB-2TJP-R36000;;;;;;;;TH1;;ST1;BM1;
3BBT;1;ROGERS TRADER;MSNG;10;MSNG;MSNG;ZA;1975-01-01;1983-01-01;ZA-3BBT-R26236;;;;;;;;TH1;HY1;;BM1;
3DOX;2;TUI CAKAU II (FIJI);MSNG;10;MSNG;MSNG;NZ;1978-01-01;1985-01-01;NZ-3DOX-T22120;;13.0;;;;;;TH1;HY1;ST1;BM1;
