call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
****001;1;LLOYD RIO;MSNG;10;MSNG;MSNG;GB;1985-01-01;1991-01-01;GB-****001-L36000;;21.0;;;;;;TH1;HY1;ST1;BM1;
****002;1;BEAU BOIS;MSNG;10;MSNG;MSNG;CA;1985-01-01;1991-01-01;CA-****002-B12000;;;;;;;;TH1;HY1;ST1;BM1;
****003;1;LAKENES;MSNG;10;MSNG;MSNG;GB;1985-01-01;1991-01-01;GB-****003-L25200;;;;;;;;TH1;HY1;ST1;BM1;
****004;1;MYRMIDON;MSNG;10;MSNG;MSNG;GB;1985-01-01;1991-01-01;GB-****004-M65350;;;;;;;;TH1;HY1;ST1;BM1;
****005;1;QUEST;MSNG;10;MSNG;MSNG;GB;1985-01-01;1991-01-01;GB-****005-Q23000;;15.0;;;;;;TH1;HY1;ST1;BM1;
****006;1;BRITISH STEEL;MSNG;10;MSNG;MSNG;GB;1985-01-01;1991-01-01;GB-****006-B63223;;;;;;;;TH1;HY1;ST1;BM1;
****007;1;DYVI GAMMA;MSNG;10;MSNG;MSNG;GB;1985-01-01;1991-01-01;GB-****007-D12500;;;;;;;;TH1;HY1;ST1;BM1;
****008;1;FORT FRONTENAC;MSNG;10;MSNG;MSNG;GB;1985-01-01;1991-01-01;GB-****008-F63165;;;;;;;;TH1;HY1;ST1;BM1;
****009;1;PUMA;MSNG;10;MSNG;MSNG;GB;1985-01-01;1991-01-01;GB-****009-P50000;;;;;;;;TH1;HY1;ST1;BM1;
****010;1;VICTORIA PEAK;MSNG;10;MSNG;MSNG;GB;1985-01-01;1991-01-01;GB-****010-V23612;;;;;;;;TH1;HY1;ST1;BM1;
****011;1;VIVIEN M.;MSNG;10;MSNG;MSNG;GB;1985-01-01;1991-01-01;GB-****011-V15000;;;;;;;;TH1;HY1;ST1;BM1;
****012;1;ALEXANDER;MSNG;70;MSNG;MSNG;IN;1987-01-01;1993-01-01;IN-****012-A42536;;;;;;;;;;;;
****017;1;SOLSTICE;MSNG;70;MSNG;MSNG;CA;1989-01-01;1995-01-01;CA-****017-S42320;;1.0;;10.0;;;;TH1;;;BM1;AN1
1694;1;MYMIR;MSNG;70;MSNG;MSNG;IS;1987-01-01;1994-01-01;IS-1694-M56000;;;;;;;;TH1;;;;
2DLB;1;MAIRI EVERARD;MSNG;10;MSNG;MSNG;GB;1985-01-01;1992-01-01;GB-2DLB-M61663;;10.0;;;;;;TH1;HY1;ST1;BM1;
2GRJ;1;THISTLE A;MSNG;10;MSNG;MSNG;GB;1989-01-01;1991-01-01;GB-2GRJ-T23400;;;;;;;;TH1;HY1;ST1;BM1;
2IJQ;1;FRANCIS DRAKE;MSNG;10;MSNG;MSNG;GB;1990-01-01;1991-01-01;GB-2IJQ-F65223;;;;;;;;TH1;HY1;ST1;BM1;
2LJV;1;HEATHER A;MSNG;10;MSNG;MSNG;GB;1988-01-01;1993-01-01;GB-2LJV-H36000;;;;;;;;TH1;HY1;;BM1;
3BEX;1;BEAU SONGE;MSNG;10;MSNG;MSNG;FR;1986-01-01;1992-01-01;FR-3BEX-B25200;;17.0;;19.0;;;;TH1;HY1;ST1;BM1;AN1
3BEY;1;ARTOIS (ILE MAURICE);MSNG;10;MSNG;MSNG;FR;1986-01-01;1993-01-01;FR-3BEY-A63245;;22.0;;28.0;;;;TH1;HY1;ST1;BM1;AN1
3BFA;1;TAMARIN (ILE MAURICE);MSNG;10;MSNG;MSNG;FR;1986-01-01;1993-01-01;FR-3BFA-T56545;;27.0;;37.0;;;;TH1;HY1;ST1;BM1;AN1
3BFH;1;HIBISCUS (ILE MAURICE);MSNG;10;MSNG;MSNG;FR;1987-01-01;1993-01-01;FR-3BFH-H12245;;21.0;;23.0;;;;TH1;HY1;ST1;BM1;AN1
3BFO;1;ASTOR;MSNG;10;MSNG;MSNG;GB;1988-01-01;1994-01-01;GB-3BFO-A23600;;18.0;;;;;;TH1;HY1;ST1;BM1;
3BFV;1;GAND C. EXPRESS;MSNG;10;MSNG;MSNG;FR;1989-01-01;1995-01-01;FR-3BFV-G53221;;27.0;;35.0;;;;TH1;HY1;ST1;BM1;AN1
3BFZ;1;REA SEA ENVOY(MAURICE);MSNG;10;MSNG;MSNG;FR;1989-01-01;1995-01-01;FR-3BFZ-R25156;;22.0;;24.0;;;;TH1;HY1;ST1;BM1;AN1
3BGD;1;TOURAINE;MSNG;10;MSNG;MSNG;FR;1989-01-01;1995-01-01;FR-3BGD-T65000;;25.0;;31.0;;;;TH1;HY1;ST1;BM1;AN1
3DLE4;1;TOWER BRIDGE;MSNG;10;MSNG;MSNG;JP;1986-01-01;1992-01-01;JP-3DLE4-T61632;;28.0;;41.0;;;;TH1;HY1;ST1;BM1;AN1
3DRO;1;FIJIAN;MSNG;10;MSNG;MSNG;NZ;1987-01-01;1994-01-01;NZ-3DRO-F25000;;11.0;;;;;;TH1;HY1;ST1;BM1;
3DRV;2;TUI CAKAU III (FIJI);MSNG;10;MSNG;MSNG;NZ;1987-01-01;1994-01-01;NZ-3DRV-T22120;;18.0;;;;;;TH1;HY1;ST1;BM1;
3DTF;1;SOUTHLAND STAR;MSNG;10;MSNG;MSNG;GB;1990-01-01;1997-01-01;GB-3DTF-S34532;;18.0;;;;;;TH1;HY1;ST1;BM1;
3DTG;1;WELLINGTON STAR;MSNG;10;MSNG;MSNG;GB;1989-01-01;1996-01-01;GB-3DTG-W45235;;17.0;;;;;;TH1;HY1;ST1;BM1;
3EAA5;1;ALLIGATOR GLORY;MSNG;70;MSNG;MSNG;US;1987-01-01;1994-01-01;US-3EAA5-A42362;;;;;;;;;;;;
3EAB6;1;BEACON;MSNG;70;MSNG;MSNG;US;1989-01-01;1996-01-01;US-3EAB6-B25000;;;;;;;;;;;;
3EAB7;1;CALIFORNIA ZEUS;MSNG;70;MSNG;MSNG;US;1989-01-01;1996-01-01;US-3EAB7-C41652;;;;;;;;;;;;
3EAC2;1;MENINA CHRISTINA (PANAMA);MSNG;70;MSNG;MSNG;US;1985-01-01;1992-01-01;US-3EAC2-M55262;;;;;;;;;;;;
3EAF4;1;FRISIA (PANAMA);MSNG;10;MSNG;MSNG;GF;1986-01-01;1993-01-01;GF-3EAF4-F62155;;30.0;;;;;;TH1;HY1;ST1;BM1;
3EAF6;1;CANADIAN RAINBOW;MSNG;70;MSNG;MSNG;US;1989-01-01;1995-01-01;US-3EAF6-C53565;;;;;;;;;;;;
3EAJ6;1;MAERSK KOBE (PANAMA);MSNG;10;MSNG;MSNG;GF;1989-01-01;1995-01-01;GF-3EAJ6-M62115;;16.0;;;;;;TH1;HY1;ST1;BM1;
3EAL3;1;FAIR BRIDGE (PANAMA);MSNG;10;MSNG;MSNG;HK;1989-01-01;1995-01-01;HK-3EAL3-F61632;;17.0;;;;;;TH1;HY1;ST1;BM1;
3EAP6;1;HAWAIIAN RAINBOW;MSNG;70;MSNG;MSNG;US;1990-01-01;1997-01-01;US-3EAP6-H56510;;;;;;;;;;;;
3EAQ3;1;SANKO CYCLAMAN (PANAMA);MSNG;70;MSNG;MSNG;US;1985-01-01;1992-01-01;US-3EAQ3-S52224;;;;;;;;;;;;
3EAR3;1;HELLESPONT VANGUARD;MSNG;70;MSNG;MSNG;CA;1985-01-01;1992-01-01;CA-3EAR3-H42153;;21.0;;31.0;;;;TH1;;;BM1;AN1
3EAY6;1;HYUNDAI #206;MSNG;70;MSNG;MSNG;US;1990-01-01;1997-01-01;US-3EAY6-H53000;;;;;;;;;;;;
3EBA;1;GLOBAL SPLENDOUR;MSNG;70;MSNG;MSNG;US;1988-01-01;1995-01-01;US-3EBA-G41421;;;;;;;;;;;;
3EBA2;2;BAHAMA STARS (PANAMA);MSNG;70;MSNG;MSNG;CA;1986-01-01;1993-01-01;CA-3EBA2-B52362;;19.0;;29.0;;;;TH1;;;BM1;AN1
3EBA3;1;SANKO DUQUESA;MSNG;70;MSNG;MSNG;US;1987-01-01;1994-01-01;US-3EBA3-S52322;;;;;;;;;;;;
