call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
**;1;SANTA FE RIG 140;MSNG;10;18;MSNG;GB;1999-06-01;2004-12-01;GB-**-S53162;;;;;;;;;;;;
***;1;MAUREEN A;MSNG;10;18;MSNG;GB;1999-06-01;2004-12-01;GB-***-M65000;;;;;;;;;;;;
****;1;SCOTT;MSNG;10;18;MSNG;GB;1999-06-01;2004-12-01;GB-****-S30000;;;;;;;;;;;;
****001;1;DRAVA;MSNG;10;MSNG;MSNG;NC;1993-01-01;2000-01-01;NC-****001-D61000;;19.0;;;;;;TH1;HY1;ST1;BM1;
****002;1;TE KAHA HMNZS;MSNG;70;18;MSNG;NZ;1997-01-01;2003-07-01;NZ-****002-T25200;;;;;;;;;;;;
****003;2;PRIOZERSK;MSNG;10;25;MSNG;RU;1999-06-01;2004-12-01;RU-****003-P62620;;;14.0;;16.0;;;TH1;;ST1;BM1;
****004;1;HOEGH PILOT;MSNG;70;MSNG;MSNG;IN;1992-01-01;2000-01-01;IN-****004-H21430;;;;;;;;;;;;
****005;1;JALA YAMINI;MSNG;10;MSNG;MSNG;IN;1994-01-01;2000-01-01;IN-****005-J45500;;;;;;;;TH1;HY1;ST1;BM1;
****006;1;KANCHAN JUNGA;MSNG;40;MSNG;MSNG;IN;1992-01-01;2000-01-01;IN-****006-K52525;;;;;;;;TH1;HY1;;BM1;
****007;1;BHARAT;MSNG;70;MSNG;MSNG;IN;1994-01-01;2000-01-01;IN-****007-B63000;;;;;;;;;;;;
****008;1;NITYA NAYAK;MSNG;70;MSNG;MSNG;IN;1994-01-01;2000-01-01;IN-****008-N35200;;;;;;;;;;;;
****009;1;INDIRA GANDHI;MSNG;40;4;MSNG;IN;1995-01-01;2002-01-01;IN-****009-I53625;;;;;;;;TH1;HY1;;;
