call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
#;1;RADIANT RIGEL;MSNG;40;MSNG;4;IN;2007-06-01;2012-12-01;IN-#-R35362;;;;;;;;;;;BM1;
*;2;APJ AKHIL;MSNG;40;MSNG;4;IN;2006-09-01;2012-03-01;IN-*-A12240;;;;;;;;TH1;HY1;;;
**;1;EVERLAST;MSNG;99;29;4;CA;2006-06-01;2011-09-01;CA-**-E16423;;;;;;;;;;;;
***;1;MISSISSAGI;MSNG;99;1;4;CA;2006-06-01;2011-09-01;CA-***-M22200;;;;;;;;;;;;
****;1;VINLANDER;MSNG;99;8;4;CA;2006-06-01;2011-09-01;CA-****-V54536;;;;;;;;;;;;
03-FEB-05;2;CORAL HIGHWAY;MSNG;10;23;5;JP;2007-09-01;2012-12-01;JP-03-FEB-05-C64200;;;27.4;;35.3;;5.8;TH1;HY1;ST1;BM1;
03FEB5;1;CORAL HIGHWAY;MSNG;10;23;5;JP;2005-12-01;2011-03-01;JP-03FEB5-C64200;;;27.4;;35.3;;5.8;TH1;HY1;ST1;BM1;
2AAY7;1;FS AQUARIUS;11;10;27;4;GB;2010-09-01;2015-12-01;GB-2AAY7-F22620;17.0;;17.5;;23.0;17.0;1.0;TH1;HY1;ST1;BM1;
2ABB2;1;CMA CGM SWORDFISH;MSNG;40;MSNG;4;US;2010-09-01;2015-12-01;US-2ABB2-C52526;;;;;;30.0;;;;;;
2AGH7;1;PACIFIC DAWN;11;10;MSNG;4;AU;2010-09-01;2015-12-01;AU-2AGH7-P21235;28.3;;28.3;;52.4;28.5;;TH1;HY1;ST1;BM1;AN1
2AJI3;2;SAFMARINE NYASSA;MSNG;70;4;4;US;2010-09-01;2015-12-01;US-2AJI3-S15655;;;;;42.0;;6.0;TH1;HY1;ST1;BM1;
2AJU5;2;ANL WYONG;11;10;4;4;AU;2010-09-01;2015-12-01;AU-2AJU5-A54520;35.0;;35.0;;40.0;35.0;8.0;TH1;HY1;ST1;BM1;
2AKI2;1;BRITISH RUBY;MSNG;10;MSNG;4;GB;2008-06-01;2013-12-01;GB-2AKI2-B63261;;;;;;;;;;;;
2AKI3;2;BRITISH SAPPHIRE;MSNG;10;MSNG;4;GB;2008-09-01;2015-12-01;GB-2AKI3-B63221;;;;;;;;;;;;
2AKI4;2;BRITISH DIAMOND;11;10;10;4;GB;2010-09-01;2015-12-01;GB-2AKI4-B63235;;;;;;;;;;;;
2ALD3;2;ANL WANGARATTA;11;10;4;4;AU;2010-09-01;2015-12-01;AU-2ALD3-A54526;35.0;;34.0;;44.0;35.0;8.0;TH1;HY1;ST1;BM1;AN1
2AMW7;1;RTM PIIRAMU;MSNG;10;1;4;US;2010-09-01;2015-12-01;US-2AMW7-R35165;;;;;32.0;;;TH1;;;BM1;
2ANO9;1;HIRTA;MSNG;10;MSNG;2;GB;2010-09-01;2015-12-01;GB-2ANO9-H63000;;;;;;;;;;;;
2BIE6;1;MAERSK NEWPORT;11;10;4;4;GB;2010-09-01;2015-12-01;GB-2BIE6-M62516;31.5;;31.5;;44.0;32.0;1.0;TH1;HY1;ST1;BM1;AN1
2BLC4;1;MAERSK NORFOLK;11;10;4;4;GB;2010-09-01;2015-12-01;GB-2BLC4-M62561;22.0;;22.0;;37.5;23.0;4.0;TH1;HY1;ST1;BM1;AN1
2BSG3;1;TOREADOR;11;70;23;4;US;2010-09-01;2015-12-01;US-2BSG3-T63600;;;32.1;;;32.0;;;;;BM1;
2BXK2;1;CAP HARRIETT;11;10;4;4;DE;2010-09-01;2015-12-01;DE-2BXK2-C16300;;;;;;;;TH1;HY1;ST1;BM1;
2BXL5;1;CAP HARRISSON;11;10;4;4;DE;2010-09-01;2015-12-01;DE-2BXL5-C16250;36.0;;36.0;;;;;TH1;HY1;ST1;BM1;
2CBA7;1;CAP HENRI;11;10;4;4;DE;2010-09-01;2015-12-01;DE-2CBA7-C15600;36.0;;36.0;;;;;TH1;HY1;ST1;BM1;
2GQZ;9;BERYL A;MSNG;10;18;4;GB;2005-12-01;2011-12-01;GB-2GQZ-B64000;54.0;;51.0;;97.0;51.0;;TH1;HY1;;BM1;AN1
2QXZ;7;TARTAN A;MSNG;10;18;4;GB;2005-09-01;2011-03-01;GB-2QXZ-T63500;62.0;;62.0;;102.0;54.0;;TH1;HY1;;BM1;AN1
3-FEB-05;1;CORAL HIGHWAY;MSNG;10;23;5;JP;2007-12-01;2013-03-01;JP-3-FEB-05-C64200;;;27.4;;35.3;;5.8;TH1;HY1;ST1;BM1;
38386;1;CORAL HIGHWAY;MSNG;10;23;5;JP;2006-12-01;2012-03-01;JP-38386-C64200;;;27.4;;35.3;;5.8;TH1;HY1;ST1;BM1;
3EAA7;3;TANZANITE;MSNG;MSNG;9;MSNG;US;2007-12-01;2013-06-01;US-3EAA7-T52530;;;;;;;;;;;;
3EAB2;1;ISE;MSNG;10;4;5;JP;2010-09-01;2015-12-01;JP-3EAB2-I20000;;;19.0;;20.0;;8.0;TH1;HY1;ST1;BM1;
3EAB4;1;KMTC ULSAN;MSNG;MSNG;4;1;KR;2010-09-01;2015-12-01;KR-3EAB4-K53242;;;;;36.0;;;TH1;HY1;;;
3EAE3;2;MSC JEMIMA;MSNG;10;4;MSNG;US;2006-12-01;2012-06-01;US-3EAE3-M25500;;;;;;;;;;ST1;BM1;
3EAH4;3;SUNNY GLOBE;MSNG;10;1;5;JP;2010-09-01;2015-12-01;JP-3EAH4-S52410;;;19.8;;20.4;;8.5;TH1;;ST1;BM1;
3EAI;3;JP AZURE;MSNG;10;1;5;JP;2010-09-01;2015-12-01;JP-3EAI-J12600;;;18.8;;33.3;;10.0;TH1;HY1;ST1;BM1;
3EAI2;1;GAIA;MSNG;10;1;4;GB;2005-09-01;2011-03-01;GB-3EAI2-G00000;23.5;;23.5;;;24.0;;TH1;HY1;ST1;BM1;
3EAK7;2;CAPE LIBERTY;MSNG;40;1;5;JP;2010-09-01;2015-12-01;JP-3EAK7-C14163;;;;;;;;TH1;HY1;ST1;BM1;
