call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
#;1;RADIANT RIGEL;MSNG;40;MSNG;4;IN;2007-06-01;2012-12-01;IN-#-R35362;;;;;;;;;;;BM1;
##;1;NITYA NAYAK;MSNG;70;MSNG;MSNG;IN;2003-03-01;2008-09-01;IN-##-N35200;;;;;;;;;;;;
###;1;MEENA UDYOG;MSNG;70;MSNG;MSNG;IN;2003-03-01;2008-09-01;IN-###-M53200;;;;;;;;;;;;
####;1;RANI PADMINI;MSNG;70;MSNG;MSNG;IN;2003-12-01;2009-06-01;IN-####-R51355;;;;;;;;;;;;
*;2;APJ AKHIL;MSNG;40;MSNG;4;IN;2006-09-01;2012-03-01;IN-*-A12240;;;;;;;;TH1;HY1;;;
**;1;HOEGH PILOT;MSNG;70;MSNG;MSNG;IN;2004-06-01;2009-12-01;IN-**-H21430;;;;;;;;;;;;
***;1;SKIPPER / II;MSNG;70;MSNG;MSNG;IN;2004-06-01;2009-12-01;IN-***-S16000;;;;;;;;;;;;
****;1;JAGAT MOHINI;MSNG;70;MSNG;MSNG;IN;2004-06-01;2009-12-01;IN-****-J23550;;;;;;;;;;;;
****001;3;ARAB HIND;MSNG;40;MSNG;MSNG;SA;2004-06-01;2009-12-01;SA-****001-A61530;;;15.0;;;;1.0;TH1;HY1;ST1;BM1;
03-FEB-05;2;CORAL HIGHWAY;MSNG;10;23;5;JP;2007-09-01;2012-12-01;JP-03-FEB-05-C64200;;;27.4;;35.3;;5.8;TH1;HY1;ST1;BM1;
03FEB5;1;CORAL HIGHWAY;MSNG;10;23;5;JP;2005-12-01;2011-03-01;JP-03FEB5-C64200;;;27.4;;35.3;;5.8;TH1;HY1;ST1;BM1;
280567J;1;SHIMA;MSNG;10;4;5;JP;2003-12-01;2009-06-01;JP-280567J-S50000;;;14.0;;17.0;;6.5;TH1;HY1;ST1;BM1;
2AJU5;1;ANL WYONG;11;10;4;4;AU;2008-06-01;2010-09-01;AU-2AJU5-A54520;35.0;;35.0;;40.0;35.0;8.0;TH1;HY1;ST1;BM1;
2AKI2;1;BRITISH RUBY;MSNG;10;MSNG;4;GB;2008-06-01;2013-12-01;GB-2AKI2-B63261;;;;;;;;;;;;
2AKI3;1;BRITISH SAPPHIRE;MSNG;10;MSNG;4;GB;2008-06-01;2008-09-01;GB-2AKI3-B63221;;;;;;;;;;;;
2GQZ;9;BERYL A;MSNG;10;18;4;GB;2005-12-01;2011-12-01;GB-2GQZ-B64000;54.0;;51.0;;97.0;51.0;;TH1;HY1;;BM1;AN1
2QXZ;7;TARTAN A;MSNG;10;18;4;GB;2005-09-01;2011-03-01;GB-2QXZ-T63500;62.0;;62.0;;102.0;54.0;;TH1;HY1;;BM1;AN1
3-FEB-05;1;CORAL HIGHWAY;MSNG;10;23;5;JP;2007-12-01;2013-03-01;JP-3-FEB-05-C64200;;;27.4;;35.3;;5.8;TH1;HY1;ST1;BM1;
38386;1;CORAL HIGHWAY;MSNG;10;23;5;JP;2006-12-01;2012-03-01;JP-38386-C64200;;;27.4;;35.3;;5.8;TH1;HY1;ST1;BM1;
3EAA7;3;TANZANITE;MSNG;MSNG;9;MSNG;US;2007-12-01;2013-06-01;US-3EAA7-T52530;;;;;;;;;;;;
3EAE3;2;MSC JEMIMA;MSNG;10;4;MSNG;US;2006-12-01;2012-06-01;US-3EAE3-M25500;;;;;;;;;;ST1;BM1;
3EAH4;1;SUNNY GLOBE;MSNG;10;1;5;JP;2008-06-01;2008-09-01;JP-3EAH4-S52410;;;19.8;;20.4;;8.5;TH1;;ST1;BM1;
3EAI;1;JP AZURE;MSNG;10;1;5;JP;2008-06-01;2008-09-01;JP-3EAI-J12600;;;18.8;;32.5;;9.6;TH1;HY1;ST1;BM1;
3EAI2;1;GAIA;MSNG;10;1;4;GB;2005-09-01;2011-03-01;GB-3EAI2-G00000;23.5;;23.5;;;24.0;;TH1;HY1;ST1;BM1;
3EAR2;3;IBI;MSNG;10;9;5;JP;2008-06-01;2008-09-01;JP-3EAR2-I10000;;;21.0;;34.6;;6.0;TH1;HY1;ST1;BM1;
3EAS6;5;PORT STAR;MSNG;10;1;5;JP;2008-03-01;2008-09-01;JP-3EAS6-P63236;;;31.0;;31.0;;10.0;TH1;HY1;ST1;BM1;
3EAS9;10;RYU YOH;MSNG;10;1;5;JP;2007-09-01;2012-12-01;JP-3EAS9-R00000;;;24.9;;31.7;;24.8;TH1;HY1;ST1;BM1;
3EAT6;5;VICTOIRE;11;10;10;4;NZ;2008-06-01;2008-09-01;NZ-3EAT6-V23600;14.4;;14.4;;21.0;14.4;6.0;TH1;HY1;ST1;BM1;AN1
3EAU3;2;VENICE BRIDGE;MSNG;MSNG;4;MSNG;US;2007-12-01;2008-09-01;US-3EAU3-V52163;;;;;;;;;;;;
3EAU6;2;RIVER SPIRIT;MSNG;10;1;5;JP;2003-12-01;2009-06-01;JP-3EAU6-R16216;;;23.4;;38.7;;15.1;TH1;HY1;ST1;BM1;
3EAV4;6;SHIN NICHIHO;MSNG;10;1;5;JP;2008-06-01;2008-09-01;JP-3EAV4-S52000;;;23.2;;33.0;;;TH1;HY1;ST1;BM1;
3EAW6;5;EMINENT ACE;MSNG;10;23;5;JP;2008-06-01;2008-09-01;JP-3EAW6-E55532;;;;;;;;TH1;HY1;ST1;BM1;
3EAW9;11;KAIMON;MSNG;10;14;5;JP;2004-06-01;2009-12-01;JP-3EAW9-K55000;;;26.0;;24.0;;14.0;TH1;HY1;ST1;BM1;
3EAX2;4;MARITIME NEWANDA;MSNG;10;1;5;JP;2007-12-01;2008-09-01;JP-3EAX2-M63555;;;17.0;;31.0;;9.6;TH1;HY1;ST1;BM1;
3EBC;8;LYRA LEADER;MSNG;10;23;5;JP;2008-06-01;2008-09-01;JP-3EBC-L64360;;;28.6;;34.2;;1.2;TH1;HY1;ST1;BM1;
