call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
**;1;SANTA FE RIG 140;MSNG;10;18;MSNG;GB;1999-06-01;2004-12-01;GB-**-S53162;;;;;;;;;;;;
***;1;MAUREEN A;MSNG;10;18;MSNG;GB;1999-06-01;2004-12-01;GB-***-M65000;;;;;;;;;;;;
****;1;SCOTT;MSNG;10;18;MSNG;GB;1999-06-01;2004-12-01;GB-****-S30000;;;;;;;;;;;;
****001;1;ROTTERDAM VI;MSNG;10;MSNG;MSNG;NL;1998-01-01;2004-01-01;NL-****001-R36351;;;22.0;55.0;;;1.0;TH1;HY1;ST1;BM1;AN1
****002;1;TE KAHA HMNZS;MSNG;70;18;MSNG;NZ;1997-01-01;2003-07-01;NZ-****002-T25200;;;;;;;;;;;;
****003;2;PRIOZERSK;MSNG;10;25;MSNG;RU;1999-06-01;2004-12-01;RU-****003-P62620;;;14.0;;16.0;;;TH1;;ST1;BM1;
****004;2;SEROGLAZKA;MSNG;10;18;MSNG;RU;1999-06-01;2004-12-01;RU-****004-S62420;;;10.0;;13.0;;;TH1;;ST1;BM1;
****005;2;SHANTAR;MSNG;10;9;MSNG;RU;1999-06-01;2004-12-01;RU-****005-S53600;;;9.0;;11.0;;;TH1;;ST1;BM1;
****006;2;VIKTOR STRELTSOV;MSNG;10;25;MSNG;RU;1999-06-01;2004-12-01;RU-****006-V23623;;;12.0;;15.0;;;TH1;;ST1;BM1;
001;1;MERCANTIL SAQUEREMA;MSNG;40;MSNG;MSNG;BR;1999-12-01;2005-06-01;BR-001-M62534;;;15.0;;20.0;;;TH1;HY1;ST1;BM1;
002;1;SANTA FE RIG 140;MSNG;10;18;MSNG;GB;2000-03-01;2005-09-01;GB-002-S53162;;;18.0;;87.0;;;TH1;HY1;;BM1;
003;1;SKIPPER /II;MSNG;70;MSNG;MSNG;IN;1999-12-01;2005-06-01;IN-003-S16000;;;;;;;;;;;;
