call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
NYCQ;1;USCGC BOUTWELL(WMEC 719);MSNG;10;MSNG;MSNG;US;1985-01-01;1991-01-01;US-NYCQ-U21345;;9.0;;24.0;;;;TH1;HY1;ST1;BM1;AN1
NZAE;1;USNS MIRFAK;MSNG;40;MSNG;MSNG;US;1980-01-01;1986-01-01;US-NZAE-U25256;;10.0;;;;;;TH1;HY1;ST1;BM1;
NZIX;1;USNS MOSOPELEA;MSNG;70;MSNG;MSNG;US;1982-01-01;1988-01-01;US-NZIX-U25252;;;;;;;;;;;;
NZVE;1;USCGC ALERT (WMEC 630);MSNG;40;MSNG;MSNG;US;1985-01-01;1994-01-01;US-NZVE-U24635;;14.0;;;;;;TH1;HY1;ST1;BM1;
O2EM;1;TORM HERDIS (DENMARK);MSNG;70;MSNG;MSNG;CA;1985-01-01;1992-01-01;CA-O2EM-T65632;;20.0;;;;;;TH1;;;BM1;
OAPA;1;INCA PACHACUTEC (PERU);MSNG;70;MSNG;MSNG;US;1983-01-01;1990-01-01;US-OAPA-I52122;;;;;;;;;;;;
ODCF;2;PERSIA;MSNG;10;MSNG;MSNG;AU;1984-01-01;1990-01-01;AU-ODCF-P62000;;17.0;;;;;;TH1;HY1;ST1;BM1;
ODDK;1;DANNY F.;MSNG;10;MSNG;MSNG;AU;1981-01-01;1988-01-01;AU-ODDK-D51000;;25.0;;;;;;TH1;HY1;ST1;BM1;
ODGI;1;FERNANDA F.;MSNG;10;MSNG;MSNG;AU;1982-01-01;1995-01-01;AU-ODGI-F65531;;22.0;;;;;;TH1;HY1;ST1;BM1;
OEMB;1;LECH (AUSTRIA);MSNG;70;MSNG;MSNG;CA;1980-01-01;1986-01-01;CA-OEMB-L22360;;14.0;;;;;;TH1;;;BM1;
OEMI;1;ENNS (AUSTRIA);MSNG;40;MSNG;MSNG;GF;1985-01-01;1989-01-01;GF-OEMI-E52236;;14.0;;;;;;TH1;HY1;ST1;BM1;
OETJ;1;LLOYD BRISBANE (AUSTRIA);MSNG;10;MSNG;MSNG;GF;1980-01-01;1987-01-01;GF-OETJ-L31621;;16.0;;;;;;TH1;HY1;ST1;BM1;
OETK;1;ATLANTIC PROSPECT (AUST);MSNG;10;MSNG;MSNG;GF;1982-01-01;1989-01-01;GF-OETK-A34532;;20.0;;;;;;TH1;HY1;ST1;BM1;
OGTA;1;MS FINNSTAR;MSNG;10;MSNG;MSNG;FI;1980-01-01;1986-01-01;FI-OGTA-M21523;;;;;;;;TH1;HY1;ST1;BM1;
OGVB;2;MS POLARIS;MSNG;40;MSNG;MSNG;FI;1983-01-01;1989-01-01;FI-OGVB-M21462;;30.0;;42.0;;;;TH1;;;BM1;AN1
OGYD;2;AURORA;MSNG;40;MSNG;MSNG;NL;1983-01-01;1990-01-01;NL-OGYD-A66000;;;;;;;;TH1;;;BM1;
OHLV;2;RU ARANDA;MSNG;40;MSNG;MSNG;FI;1983-01-01;1995-01-01;FI-OHLV-R65300;;10.0;;17.0;;;;TH1;;;BM1;AN1
OHLW;2;RU VOIMA;MSNG;40;MSNG;MSNG;FI;1983-01-01;1995-01-01;FI-OHLW-R15000;;12.0;;22.0;;;;TH1;;;BM1;AN1
OHLX;2;RU KARHU;MSNG;40;MSNG;MSNG;FI;1983-01-01;1990-01-01;FI-OHLX-R26000;;12.0;;22.0;;;;TH1;;;BM1;AN1
OHLZ;2;RU MURTAJA;MSNG;40;MSNG;MSNG;FI;1983-01-01;1990-01-01;FI-OHLZ-R56320;;12.0;;22.0;;;;TH1;;;BM1;AN1
OHMF;2;RU SAMPO;MSNG;40;MSNG;MSNG;FI;1983-01-01;1990-01-01;FI-OHMF-R25100;;12.0;;22.0;;;;TH1;;;BM1;AN1
OHMG;2;RU TARMO;MSNG;40;MSNG;MSNG;FI;1983-01-01;1995-01-01;FI-OHMG-R36500;;17.0;;27.0;;;;TH1;;;BM1;AN1
OHMN;2;RU HANSE;MSNG;40;MSNG;MSNG;FI;1983-01-01;1995-01-01;FI-OHMN-R52000;;12.0;;22.0;;;;TH1;;;BM1;AN1
OHMO;2;RU VARMA;MSNG;40;MSNG;MSNG;FI;1983-01-01;1995-01-01;FI-OHMO-R16500;;17.0;;27.0;;;;TH1;;;BM1;AN1
OHMP;2;RU APU;MSNG;40;MSNG;MSNG;FI;1983-01-01;1995-01-01;FI-OHMP-R10000;;17.0;;27.0;;;;TH1;;;BM1;AN1
OHMS;2;RU URHO;MSNG;40;MSNG;MSNG;FI;1983-01-01;1990-01-01;FI-OHMS-R60000;;22.0;;35.0;;;;TH1;;;BM1;AN1
OHMW;2;RU SISU;MSNG;40;MSNG;MSNG;FI;1983-01-01;1995-01-01;FI-OHMW-R22000;;22.0;;35.0;;;;TH1;;;BM1;AN1
OIAL;1;MS HANS GUTZEIT;MSNG;40;MSNG;MSNG;FI;1982-01-01;1988-01-01;FI-OIAL-M25232;;42.0;;;;;;TH1;;;BM1;
OIBS;2;MS FINNFELLOW;MSNG;40;MSNG;MSNG;FI;1983-01-01;1995-01-01;FI-OIBS-M21514;;30.0;;42.0;;;;TH1;;;BM1;AN1
OIKP;1;BORE KING (FINLAND);MSNG;10;MSNG;MSNG;SE;1985-01-01;1986-01-01;SE-OIKP-B62521;;21.0;;;;;;TH1;HY1;ST1;BM1;
OIND;1;SILVIA REGINA;MSNG;70;MSNG;MSNG;SE;1982-01-01;1988-01-01;SE-OIND-S41625;;;;;;;;;;ST1;;
OINO;2;SILVIA REGINA (FINLAND);MSNG;70;MSNG;MSNG;SE;1985-01-01;1992-01-01;SE-OINO-S41625;;;;;;;;;;;;
OIPE;1;FINNHAWK;MSNG;10;MSNG;MSNG;SE;1982-01-01;1989-01-01;SE-OIPE-F52000;;28.0;;;;;;TH1;HY1;ST1;BM1;
OIPF;1;FINNROSE;MSNG;10;MSNG;MSNG;SE;1982-01-01;1989-01-01;SE-OIPF-F56200;;28.0;;;;;;TH1;HY1;ST1;BM1;
OIPG;1;ATLANTIC STREAM;MSNG;10;MSNG;MSNG;SE;1982-01-01;1989-01-01;SE-OIPG-A34532;;28.0;;;;;;TH1;HY1;ST1;BM1;
OISF;1;HESPERUS;MSNG;10;MSNG;MSNG;SE;1984-01-01;1990-01-01;SE-OISF-H21620;;22.0;;30.0;;;;TH1;HY1;ST1;BM1;AN1
ONAA;1;FINA AMERICA;MSNG;10;MSNG;MSNG;BE;1984-01-01;1995-01-01;BE-ONAA-F55620;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONAB;1;PERMEKE;MSNG;10;MSNG;MSNG;BE;1983-01-01;1995-01-01;BE-ONAB-P65200;;26.0;;;;;;TH1;HY1;ST1;BM1;
ONAC;1;FEDERAL MAAS;MSNG;10;MSNG;MSNG;BE;1982-01-01;1995-01-01;BE-ONAC-F36452;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONAD;1;ORTELIUS;MSNG;10;MSNG;MSNG;BE;1978-01-01;1986-01-01;BE-ONAD-O63420;;27.0;;;;;;TH1;HY1;ST1;BM1;
ONAE;1;METHANIA;MSNG;10;MSNG;MSNG;BE;1978-01-01;1986-01-01;BE-ONAE-M35000;;27.0;;;;;;TH1;HY1;ST1;BM1;
ONAF;1;TEMSE;MSNG;10;MSNG;MSNG;BE;1980-01-01;1995-01-01;BE-ONAF-T52000;;24.0;;;;;;TH1;HY1;ST1;BM1;
ONAG;1;BALDER ANTWERPEN;MSNG;10;MSNG;MSNG;BE;1980-01-01;1987-01-01;BE-ONAG-B43653;;18.0;;;;;;TH1;HY1;ST1;BM1;
ONAH;1;ENSOR;MSNG;10;MSNG;MSNG;BE;1983-01-01;1995-01-01;BE-ONAH-E52600;;26.0;;;;;;TH1;HY1;ST1;BM1;
ONAL;1;FED. SCHELDE;MSNG;10;MSNG;MSNG;BE;1980-01-01;1987-01-01;BE-ONAL-F32430;;18.0;;;;;;TH1;HY1;ST1;BM1;
ONAM;1;ANTWERPEN;MSNG;10;MSNG;MSNG;BE;1980-01-01;1995-01-01;BE-ONAM-A53615;;26.0;;;;;;TH1;HY1;ST1;BM1;
ONAN;1;FED. RHINE;MSNG;10;MSNG;MSNG;BE;1980-01-01;1987-01-01;BE-ONAN-F36500;;18.0;;;;;;TH1;HY1;ST1;BM1;
ONAO;1;POCANTICO;MSNG;10;MSNG;MSNG;BE;1980-01-01;1987-01-01;BE-ONAO-P25320;;17.0;;;;;;TH1;HY1;ST1;BM1;
ONAP;1;BRUSSEL;MSNG;10;MSNG;MSNG;BE;1980-01-01;1995-01-01;BE-ONAP-B62400;;26.0;;;;;;TH1;HY1;ST1;BM1;
ONAQ;1;PLANTIN;MSNG;10;MSNG;MSNG;BE;1982-01-01;1986-01-01;BE-ONAQ-P45350;;25.0;;;;;;TH1;HY1;ST1;BM1;
ONAR;1;CORAL TEMSE;MSNG;10;MSNG;MSNG;BE;1982-01-01;1986-01-01;BE-ONAR-C64352;;20.0;;;;;;TH1;HY1;ST1;BM1;
ONAT;1;AHLERS BREEZE;MSNG;10;MSNG;MSNG;BE;1984-01-01;1991-01-01;BE-ONAT-A46216;;22.0;;;;;;TH1;HY1;ST1;BM1;
